id	title	publisher	dateOfPublication	placeOfPublication	series
7aae45e3-5300-48ef-82b9-ff93c21dddb0	A new history of Korea	Published for the Harvard-Yenching Institute by Harvard University Press,	1984.	Cambridge, Mass. :	
2b905c47-7d4d-44c0-85b2-3752ee4497a5	Irish writing : exile and subversion	Macmillan,	1991	London :	
08ff95b6-ebf3-4ae7-bd35-b3ec124271d4	Edmond Jaloux : the evolution of a novelist	Philosophical Library,	[1972]	New York :	
e1ece413-b518-4002-8b0f-9e6d0827ca27	Caddo Indians : where we come from	University of Oklahoma Press,	©1995.	Norman :	
efc04f04-2e72-42a9-8575-a25f53994ac0	Andre Gide; a critical biography	Atheneum,	[1968]	New York :	
e0d61120-47ca-4c96-bab9-9087bc7a5805	Shards of memory	Doubleday,	1995.	New York :	
ab1bc534-6371-4d52-8fd4-93fc49d8a338	The mind managers	Beacon Press,	[1973]	Boston :	
3faf639b-d49b-440a-8ec3-e6e3b52e74af	Le Temps d'aimer	Gallimard,	1968.	[Paris,] :	
35a0d0a9-7298-4a7f-ac74-d5e81de70ba9	United Nations journal : a delegate's odyssey	Putnam,	[1974]	New York :	
9f309e32-648e-4e20-9e7a-69c1e26a1399	The mathematical theory of turbulence	Springer-Verlag,	©1985.	New York :	
c4bc55f7-d193-42e5-9bbf-ba77e1105f8e	Recollections : my life in bookbinding	Bird & Bull Press,	1995.	Newtown, Pa. :	
cf0e903e-dcd5-4e06-8260-ca5f360d52a3	Introduction to multivariate analysis	Sage Publications,	©1984.	Beverly Hills :	
33ba5a34-75c4-4ca1-b0d9-724b87ecaa22	Each in his darkness	Pantheon Books,	[1961]	[New York] :	
0037f200-c8ae-44a6-9750-1f3a490eb4ed	Maritime Southeast Asia to 1500	M.E. Sharpe,	©1996.	Armonk, N.Y. :	
84af3b9b-5660-44b1-9bf9-b6c1926c112d	[Announcement]	[publisher not identified],	187?	Cleveland, O[hio] :	
9411eabb-16ec-490d-ab19-48383d77da62	Practical magic	Putnam,	©1995.	New York :	
d55f37ea-f8fc-472e-8cfc-e0b1c54d5f83	The mission bell	Scribner,	1953.	New York :	
7c89a37b-1606-4d97-bed0-921e4e0a843e	Rabies	Lodestar Books,	©1993.	New York :	
94ad8d21-f101-4b47-ab65-cc5e3d301a16	The effects of human aggression on alcohol related traffic accidents : a thesis submitted in partial fulfillment of the requirements for the degree Master of Science in Psychology	University,	1985.	Millersville, Pa. :	
0dd4f7a7-0d76-4019-918d-617ffa083609	The machine in America : a social history of technology	Johns Hopkins University Press,	1995.	Baltimore :	
e74d27dc-6fc8-4ec0-899b-b74db43a11c5	Andre Malraux : the conquest of dread	Johns Hopkins Press,	[1960]	Baltimore :	
fe098f10-e0e5-4f19-b3b6-86945d8f9659	Lincoln	Simon & Schuster,	©1995.	New York :	
